"Timestamp","1. How old are you (years)?","2. Please choose your gender.","3. Which state in Nigeria do you live in?","4. What is your employment status?","5. How much is your average monthly earnings (Naira)?","6. What is your most used means of transport?","7. How often do you leave your house (for any purpose)?","8. How do you usually go out for your recreational activities/hang outs?","9. Have you ever been harassed in a public or private space?","10. Considering one of the most significant confrontations you've had, how populated was the area?","11. What was the nature of this confrontation?","12. Were you at any point during this confrontation worried about your safety or that of your property?","13. Were you alone or with someone familiar during this confrontation?","14. Do you think if the harasser(s) felt they were being watched, or evidence of their actions could be used against them, they would have acted differently?","15. Did you at any point during this confrontation consider recording the situation with your phone?","15a. If no, (looking back at the situation) should you have considered recording the situation with your phone?","15b. If your answer to question 15 or 15a is yes, why?","15c. If your answer to question 15 and 15a is no, why?","16. Did you eventually record the situation with your phone?","16a. If yes, where you worried about the destruction of your phone?","16b. What worried you the most about using your phone (whether you recorded or not)?","17. If cheaper devices were made just for recording such a scenario, would you buy for back up purposes?","18. How much will you be comfortable with paying for such a product (Naira)?","19. Assuming the price of such a product is outside your comfort range, what's the maximum amount you would not be willing to go above?","20. How comfortable will you be if you/others were to have this device on everywhere you went?","21. What other situations do you think such a product would prove useful?"
"2021/02/19 12:09:45 AM PST","21 - 25","Male","Lagos","Freelancer","Less than 250,000","Commercial private vehicle (like uber, bolt, drop etc.)","Neutral","With friends","Yes","Very scarcely populated","Mildly aggressive","No","Yes","Yes","No","Yes","Accountability","","No","","Expense of getting a new phone if destroyed","Yes","less than 5,000","5,000 - 19,999","","Not just abuse or harrasment. Any ill of the society."
"2021/02/19 12:48:58 AM PST","21 - 25","Female","Lagos","Full-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Every Time","With friends","No","","","","","","","","","","","","","","","","",""
"2021/02/19 12:49:51 AM PST","21 - 25","Female","Akwa Ibom","Unemployed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Neutral","With friends","Yes","Scarcely populated","Not aggressive","Yes","No","No","No","No","","","","","","","","","",""
"2021/02/19 12:51:14 AM PST","21 - 25","Male","Lagos","Full-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","By yourself","No","","Not aggressive","No","Yes","Yes","Yes","No","","","No","Yes","Loss of important files in phone if destroyed","Yes","less than 5,000","5,000 - 19,999","",""
"2021/02/19 12:52:50 AM PST","21 - 25","Female","Lagos","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Neutral","With friends","Yes","Scarcely populated","Mildly aggressive","Yes","No","Yes","No","No","","Fear for your life","No","","Expense of getting a new phone if destroyed","Yes","less than 5,000","5,000 - 19,999","","During an accident "
"2021/02/19 12:53:49 AM PST","21 - 25","Female","Imo","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Very populated","Very aggressive","Yes","Yes","Yes","Yes","Yes","Accountability","Fear of provoking the harasser any further","No","No","Loss of important files in phone if destroyed","Maybe","5,000 - 19,999","5,000 - 19,999","","Film making classes"
"2021/02/19 12:54:05 AM PST","21 - 25","Male","Rivers","Part-time employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Moderately populated","Very aggressive","Yes","Yes","No","No","Yes","Accountability","Didn't feel it was necessary","No","No","Expense of getting a new phone if destroyed","Maybe","less than 5,000","less than 5,000","",""
"2021/02/19 12:55:26 AM PST","21 - 25","Male","Rivers","Unemployed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Scarcely populated","Mildly aggressive","Yes","No","Maybe","No","Yes","Accountability","","No","","Expense of getting a new phone if destroyed","Maybe","less than 5,000","5,000 - 19,999","","In a robbery case"
"2021/02/19 12:55:52 AM PST","26 - 30","Male","Rivers","Self employed","Less than 250,000","Commercial private vehicle (like uber, bolt, drop etc.)","Almost Every Time","With friends","No","Moderately populated","Not aggressive","Yes","No","Yes","No","No","","Fear for your life","No","No","Loss of important files in phone if destroyed","Maybe","35,000 - 49,999","35,000 - 49,999","","It can be use for arm robbery situations too "
"2021/02/19 12:56:59 AM PST","26 - 30","Male","Oyo","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Every Time","With friends","Yes","Moderately populated","Mildly aggressive","Yes","No","Maybe","Yes","Yes","Fear for your life","","No","No","Loss of important files in phone if destroyed","Yes","20,000 - 34,999","35,000 - 49,999","","Surveillance"
"2021/02/19 12:57:47 AM PST","26 - 30","Female","Rivers","Self employed","Less than 250,000","Commercial private vehicle (like uber, bolt, drop etc.)","Neutral","With family","Yes","Very scarcely populated","Not aggressive","No","Yes","Maybe","No","No","","Fear of destruction of property","No","","Loss of important files in phone if destroyed","Maybe","5,000 - 19,999","35,000 - 49,999","","Record a lecture,  message or anything you need to listen to afterward. I had a recording device but the battery was a problem."
"2021/02/19 12:58:03 AM PST","21 - 25","Female","Akwa Ibom","Unemployed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Moderately populated","Mildly aggressive","Yes","Yes","No","No","No","","Fear for your life","No","Yes","Loss of the recorded video (evidence) in phone if destroyed","Yes","less than 5,000","5,000 - 19,999","","Rape, assault, sexual harrasment by lecturers, domestic violence.."
"2021/02/19 12:58:05 AM PST","16 - 20","Female","Rivers","Freelancer","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Every Time","With friends","Yes","Moderately populated","Mildly aggressive","Yes","Yes","Maybe","No","Yes","Accountability","Fear of destruction of property","No","Yes","Expense of getting a new phone if destroyed","Yes","5,000 - 19,999","5,000 - 19,999","","While carrying out everyday activities, you might have just obtained tangible evidence to a crime/accident at anytime and anywhere"
"2021/02/19 1:02:24 AM PST","16 - 20","Male","Ogun","Unemployed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Every Time","With friends","No","Moderately populated","Very aggressive","Yes","Yes","Maybe","Yes","Yes","Online awareness","Didn't feel it was necessary","Yes","Yes","Loss of important files in phone if destroyed","Maybe","less than 5,000","5,000 - 19,999","","For liers"
"2021/02/19 1:03:49 AM PST","26 - 30","Female","Rivers","Freelancer","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Almost Never","With friends","Yes","Moderately populated","Mildly aggressive","Yes","Yes","Maybe","No","No","","Fear of destruction of property","No","","Loss of important files in phone if destroyed","Maybe","5,000 - 19,999","20,000 - 34,999","",""
"2021/02/19 1:05:24 AM PST","21 - 25","Female","Rivers","Part-time employed","Less than 250,000","Commercial private vehicle (like uber, bolt, drop etc.)","Almost Every Time","With family","Yes","Scarcely populated","Very aggressive","Yes","No","No","No","No","","Didn't feel it was necessary","No","","","Yes","20,000 - 34,999","80,000 - 99,999","","Criminal cases"
"2021/02/19 1:06:27 AM PST","21 - 25","Male","Rivers","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Every Time","With friends","Yes","Scarcely populated","Mildly aggressive","Yes","Yes","Yes","No","No","","Fear of destruction of property","No","","Loss of important files in phone if destroyed","Yes","","5,000 - 19,999","","In life challenging situations, or in situations where your evidence is necessary for a proper report."
"2021/02/19 1:09:13 AM PST","21 - 25","Female","Rivers","Self employed","250,000 - 499,999","Personal/Private vehicle","Neutral","With friends","No","Moderately populated","Mildly aggressive","No","Yes","Yes","No","Yes","Accountability","","No","No","Expense of getting a new phone if destroyed","Yes","less than 5,000","5,000 - 19,999","",""
"2021/02/19 1:09:46 AM PST","36 - 40","Male","Rivers","Self employed","250,000 - 499,999","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Every Time","With spouse","Yes","Very populated","Life threatening","Yes","Yes","No","No","No","","Fear of provoking the harasser any further","No","","Loss of important files in phone if destroyed","Yes","35,000 - 49,999","50,000 - 64,999","","Lecturer to female students harassment "
"2021/02/19 1:11:46 AM PST","21 - 25","Male","Rivers","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Neutral","With friends","Yes","Scarcely populated","Mildly aggressive","No","Yes","No","No","No","","Didn't feel it was necessary","No","","Loss of important files in phone if destroyed","Maybe","5,000 - 19,999","20,000 - 34,999","",""
"2021/02/19 1:12:22 AM PST","21 - 25","Female","Rivers","Self employed","Less than 250,000","Commercial public vehicle (like buses, shared taxi, keke napep, bike etc.)","Neutral","With friends","Yes","Scarcely populated","Mildly aggressive","Yes","No","Yes","No","Yes","Fear for your life","","No","No","","Yes","less than 5,000","20,000 - 34,999","","Cases of theft"
